type,slug,url,name,description,technology,duration_hours,total_courses,total_projects,total_assessments,total_participants,courses,projects
skill,importing-cleaning-data-with-python,https://app.datacamp.com/learn/skill-tracks/importing-cleaning-data-with-python,Impor & Pembersihan Data dalam Python,"Dapatkan keterampilan persiapan data dunia nyata yang Anda butuhkan untuk mengungkap wawasan yang penting! Pelajari cara mengimpor, membersihkan, dan bekerja dengan API dan data web.",Python,13,4,1,1,24717,Pengantar Mengimpor Data di Python | Mengimpor Data Tingkat Menengah di Python | Membersihkan Data di Python | Mengubah Bentuk Data dengan pandas | Menjelajahi Tren Pasar Airbnb | Mengimpor & Membersihkan Data dengan Python,
skill,sql-for-database-administrators,https://app.datacamp.com/learn/skill-tracks/sql-for-database-administrators,SQL untuk Administrator Database,"Dapatkan keterampilan basis data yang Anda butuhkan untuk menjadi seorang SQL DBA yang percaya diri dan berpenghasilan tinggi. Pelajari cara membuat, mengembangkan, dan mengelola basis data PostgreSQL Anda.",SQL,16,4,,,18982,Pengantar Basis Data Relasional dalam SQL | Perancangan Basis Data | Membuat Database PostgreSQL | Meningkatkan Performa Kueri di PostgreSQL,
skill,sql-server-for-database-administrators,https://app.datacamp.com/learn/skill-tracks/sql-server-for-database-administrators,SQL Server untuk Administrator Database,"Mulailah dan pelajari keterampilan SQL Server yang penting yang Anda butuhkan untuk mengatur, merancang, dan memelihara basis data bisnis Anda dengan aman.",SQL,24,6,,,19278,Pengantar Basis Data Relasional dalam SQL | Perancangan Basis Data | Transaksi dan Penanganan Kesalahan di SQL Server | Writing Functions and Stored Procedures in SQL Server | Membangun dan Mengoptimalkan Trigger di SQL Server | Meningkatkan Kinerja Kueri di SQL Server,
skill,learn-statistics-with-r,https://app.datacamp.com/learn/skill-tracks/learn-statistics-with-r,Dasar-Dasar Statistik di R,"Temukan kekuatan statistik dalam R. Pelajari konsep, topik, dan teknik statistik utama yang digunakan oleh ilmuwan data dan ahli statistik setiap hari.",,20,5,1,1,25669,Pengantar Statistika di R | Pengantar Regresi di R | Regresi Tingkat Menengah di R | Sampling di R | Pengujian Hipotesis di R | Pengujian Hipotesis pada Pertandingan Sepak Bola Putra dan Putri | Dasar-dasar Statistik dengan R,
skill,image-processing,https://app.datacamp.com/learn/skill-tracks/image-processing,Pemrosesan Gambar dalam Python,"Gunakan keterampilan Python Anda untuk mengolah data gambar! Dari pra-pemrosesan hingga deep learning, Anda akan menemukan berbagai cara untuk memanfaatkan data gambar.",Python,12,3,1,,17554,Pemrosesan Citra dengan Python | Image Processing for Object Detection Models | Biomedical Image Analysis in Python | Pemodelan Citra dengan Keras,
skill,google-workspace-with-gemini,https://app.datacamp.com/learn/skill-tracks/google-workspace-with-gemini,Google Workspace with Gemini,You learn about the key features of Gemini and how they can be used to improve productivity and efficiency in Google Workspace.,,4,8,,,389,Introduction to Google Workspace with Gemini | Gemini in Gmail | Gemini in Google Docs | Gemini in Google Slides | Gemini in Google Sheets | Gemini in Google Meet | Gemini in Google Drive | Create Engaging Video with Google Vids,
skill,analyzing-genomic-data-in-r,https://app.datacamp.com/learn/skill-tracks/analyzing-genomic-data-in-r,Analisis Data Genomik di R,Mulailah menjelajahi dunia biologi komputasional dengan paket-paket Bioconductor dan alur kerja yang esensial untuk analisis data sekuensing generasi berikutnya.,,16,4,,,9282,Pengantar Bioconductor di R | RNA-Seq dengan Bioconductor di R | Analisis Ekspresi Diferensial dengan limma di R | ChIP-seq dengan Bioconductor di R,
skill,marketing-analytics-with-python,https://app.datacamp.com/learn/skill-tracks/marketing-analytics-with-python,Analisis Pemasaran dalam Python,"Dapatkan keterampilan Python yang Anda butuhkan untuk menganalisis kampanye pemasaran, menganalisis data media sosial secara mendalam, dan menggunakan machine learning untuk memprediksi tingkat churn pelanggan.",Python,24,6,1,,4684,Menganalisis Kampanye Pemasaran dengan pandas | Menganalisis Data Media Sosial dengan Python | Analisis Market Basket dengan Python | Machine Learning untuk Pemasaran dengan Python | Customer Segmentation in Python | Analitik Pemasaran: Memprediksi Churn Pelanggan di Python | Combating Subscriber Churn with Targeted Marketing,
skill,responsible-ai-foundations,https://app.datacamp.com/learn/skill-tracks/responsible-ai-foundations,Landasan Kecerdasan Buatan yang Bertanggung Jawab,"Kuasai dasar-dasar kecerdasan buatan yang bertanggung jawab. Peroleh keterampilan etika, manajemen data, dan kepatuhan yang esensial untuk mengelola AI sepanjang siklus hidupnya.",,6,4,,,2491,Etika Kecerdasan Buatan | Tata Kelola Artificial Intelligence | Keamanan AI dan Manajemen Risiko | Manajemen Data AI yang Bertanggung Jawab,
skill,data-visualization-with-r,https://app.datacamp.com/learn/skill-tracks/data-visualization-with-r,Visualisasi Data di R,Jadikan data Anda lebih jelas dengan visualisasi data menggunakan ggplot2 di R. Pelajari keterampilan grafis dan pembuatan grafik untuk menceritakan cerita data yang lebih baik.,,12,3,,,23740,Pengantar Visualisasi Data dengan ggplot2 | Visualisasi Data Tingkat Menengah dengan ggplot2 | Praktik Terbaik Visualisasi di R,
skill,google-cloud-generative-ai-leader,https://app.datacamp.com/learn/skill-tracks/google-cloud-generative-ai-leader,Google Cloud Generative AI Leader,A broad overview of Gen AI to understand how to leverage Gen AI and Google Cloud for organizational transformation.,,6,5,,,355,Gen AI: Beyond the Chatbot | Gen AI: Unlock Foundational Concepts | Gen AI: Navigate the Landscape | Gen AI Apps: Transform Your Work | Gen AI Agents: Transform Your Organization,
skill,hugging-face-fundamentals,https://app.datacamp.com/learn/skill-tracks/hugging-face-fundamentals,Dasar-Dasar Hugging Face,"Temukan model AI open-source terbaru, dataset, dan aplikasi, bangun agen AI, dan sesuaikan model bahasa besar (LLMs) dengan Hugging Face. Bergabunglah dengan komunitas AI terbesar hari ini!",Python,12,4,1,,2490,Bekerja dengan Hugging Face | Pengantar LLM di Python | Multi-Modal Models with Hugging Face | Klasifikasi Gambar Makanan dengan Hugging Face | Agen AI dengan Hugging Face smolagents,
skill,applied-finance-in-python,https://app.datacamp.com/learn/skill-tracks/applied-finance-in-python,Keuangan Terapan dalam Python,"Tingkatkan keterampilan keuangan Anda dalam Python. Pelajari cara mengevaluasi portofolio, menghitung risiko kredit, dan membuat model GARCH untuk memprediksi volatilitas.",Python,16,4,,,14266,Pengantar Manajemen Risiko Portofolio dengan Python | Manajemen Risiko Kuantitatif dengan Python | Pemodelan Risiko Kredit dengan Python | Model GARCH di Python,
skill,building-applications-with-oop,https://app.datacamp.com/learn/skill-tracks/building-applications-with-oop,Membuat Aplikasi dengan Pemrograman Berorientasi Objek (OOP) dalam Python,"Kuasai dasar-dasar pemrograman berorientasi objek, termasuk pewarisan, polimorfisme, penunjuk tipe, kelas dasar abstrak, dan antarmuka.",Python,11,3,1,,3642,Pengantar Pemrograman Berorientasi Objek di Python | Pemrograman Berorientasi Objek Tingkat Menengah di Python | Studi Kasus: Membangun Perangkat Lunak dengan Python | Membangun Sistem Manajemen Inventaris Ritel,
skill,snowflake-ai-fundamentals,https://app.datacamp.com/learn/skill-tracks/snowflake-ai-fundamentals,Dasar-Dasar Snowflake AI,Bangun aplikasi yang didukung oleh kecerdasan buatan (AI) dengan Snowflake. Mengelola data master dan kecerdasan buatan generatif untuk menciptakan solusi cerdas di cloud.,"Python, Snowflake, Teori",6,4,,,2839,Pengantar Snowflake | Pengantar LLM di Python | Pengantar Generative AI di Snowflake | Manajemen Data AI yang Bertanggung Jawab | How to Build a Chatbot with Snowflake Cortex AI (Step-by-Step Guide),
skill,machine-learning-in-production,https://app.datacamp.com/learn/skill-tracks/machine-learning-in-production,Penerapan Machine Learning dalam Produksi dalam Python,Tingkatkan keterampilan machine learning Anda hingga tingkat produksi dengan jalur keterampilan yang terfokus ini.,,19,5,1,,4244,Konsep MLOps | Pengantar MLflow | Memprediksi Suhu di London | Konsep Monitoring Machine Learning | Pemantauan Machine Learning dengan Python | Pengantar Versioning Data dengan DVC,
skill,eu-ai-act-fundamentals,https://app.datacamp.com/learn/skill-tracks/eu-ai-act-fundamentals,Dasar-Dasar Undang-Undang Kecerdasan Buatan Uni Eropa,Menguasai Undang-Undang Kecerdasan Buatan Uni Eropa (EU AI Act) dan dasar-dasar kecerdasan buatan. Pelajari cara memahami peraturan dan membangun kepercayaan dengan Kecerdasan Buatan yang Bertanggung Jawab.,,9,6,,,686,Pengantar AI untuk Pekerjaan | Understanding the EU AI Act | Generative AI untuk Bisnis | Large Language Models for Business | Etika Kecerdasan Buatan | Responsible AI Practices,
skill,finance-fundamentals-with-cfi,https://app.datacamp.com/learn/skill-tracks/finance-fundamentals-with-cfi,Dasar-Dasar Keuangan dengan CFI,Dibuat bersama Corporate Finance Institute (CFI)—dapatkan keterampilan keuangan dan Python yang Anda butuhkan untuk memasuki dunia keuangan.,"Python, Teori",20,6,,,3799,Matematika untuk Profesional Keuangan | Pengantar Python untuk Keuangan | Intermediate Python for Finance | Dasar-Dasar Keuangan Perusahaan | Pengantar Penilaian Bisnis | Pengantar Konsep Keuangan dengan Python,
skill,supervised-machine-learning-in-python,https://app.datacamp.com/learn/skill-tracks/supervised-machine-learning-in-python,Pembelajaran Mesin Terawasi dalam Python,Kuasai teknik pembelajaran mesin terawasi yang paling populer untuk mulai membuat prediksi menggunakan data berlabel.,Python,25,6,2,,5806,Supervised Learning dengan scikit-learn | Pemodelan Prediktif untuk Pertanian | Klasifikator Linear di Python | Machine Learning dengan Model Berbasis Pohon di Python | Memprediksi Durasi Penyewaan Film | Extreme Gradient Boosting dengan XGBoost | Penyetelan Hyperparameter di Python | Metode Ensemble di Python,
skill,reinforcement-learning,https://app.datacamp.com/learn/skill-tracks/reinforcement-learning,Pembelajaran Penguatan dalam Python,Kuasai dasar-dasar reinforcement learning (RL) untuk menciptakan model yang dapat menavigasi lingkungan dunia nyata yang kompleks dan melatih model bahasa besar (LLMs).,"Python, PyTorch",12,3,2,,3987,Reinforcement Learning dengan Gymnasium di Python | Optimisasi Rute Taksi dengan Reinforcement Learning | Deep Reinforcement Learning dengan Python | Simulasi Perdagangan Saham dengan Gymnasium | Reinforcement Learning from Human Feedback (RLHF),
skill,gdpr-and-data-privacy-fundamentals,https://app.datacamp.com/learn/skill-tracks/gdpr-and-data-privacy-fundamentals,GDPR dan Dasar-Dasar Privasi Data,"Menguasai GDPR, privasi data, dan keamanan untuk melindungi data, memastikan kepatuhan, dan membangun kepercayaan di dunia digital.","Dapatkan pemahaman yang jelas tentang prinsip-prinsip GDPR dan cara mengatur proses yang sesuai dengan GDPR dalam kursus komprehensif ini.
Bab:
GDPR, tanpa rasa takut!
650 XP
Ringkasan konsep GDPR
800 XP
Keamanan Pemrosesan Data
900 XP
GDPR, AI, dan masa depan
850 XP
Lihat Kursus
Mulai",5,3,,,3247,Memahami GDPR | Pengantar Privasi Data | Pengantar Keamanan Data,
skill,python-programming-toolbox,https://app.datacamp.com/learn/skill-tracks/python-programming-toolbox,Kotak Alat Pemrograman Python,"Perluas pengetahuan Anda tentang tanggal dan waktu, ekspresi reguler, dan algoritma dalam Python!",Python,13,3,1,,3882,Bekerja dengan Tanggal dan Waktu di Python | Regular Expressions in Python | Struktur Data dan Algoritma di Python | Pengiriman Antarbintang: Menguasai Datetime di Python,
skill,data-manipulation-with-r,https://app.datacamp.com/learn/skill-tracks/data-manipulation-with-r,Manipulasi Data di R,"Hilangkan kerumitan dalam manipulasi data menggunakan dplyr dan tidyr. Pelajari cara mengubah, mengurutkan, dan menyaring data Anda, siap untuk analisis cepat.",,16,4,1,,7004,Manipulasi Data dengan dplyr | Reshaping Data with tidyr | Menggabungkan Data dengan dplyr | Mengidentifikasi Tren Durasi Penerbangan dalam Perjalanan Udara | Studi Kasus: Exploratory Data Analysis di R,
skill,applied-statistics,https://app.datacamp.com/learn/skill-tracks/applied-statistics,Statistik Terapan dalam Python,"Jelajahi analisis statistik berbasis Python untuk memperoleh keterampilan pengambilan keputusan yang esensial, seperti pengujian A/B dan model Bayesian.",Python,16,4,,,4461,Perancangan Eksperimen dengan Python | A/B Testing in Python | Dasar-dasar Inferensi di Python | Analisis Data Bayesian dengan Python,
skill,decision-science-fundamentals,https://app.datacamp.com/learn/skill-tracks/decision-science-fundamentals,Dasar-Dasar Ilmu Pengambilan Keputusan,"Alat bantu yang kuat untuk pengambilan keputusan yang lebih cerdas. Bangun, optimalkan, dan evaluasi model pengambilan keputusan, hindari bias, dan terapkan pemikiran analitis pada masalah nyata.",,4,3,,,1591,Mendemistifikasi Decision Science | Decoding Decision Modeling | Menaklukkan Bias Data,
skill,tidyverse-fundamentals,https://app.datacamp.com/learn/skill-tracks/tidyverse-fundamentals,Dasar-Dasar Tidyverse di R,"Impor dan rapikan data, olah dan visualisasikan data, serta buat model dan komunikasikan data menggunakan R dengan tidyverse.",,20,5,1,,3580,Pengantar Tidyverse | Reshaping Data with tidyr | Analisis Popularitas Bahasa Pemrograman | Pemodelan dengan Data di Tidyverse | Berkomunikasi dengan Data di Tidyverse | Data Kategorikal di Tidyverse,
skill,text-mining-with-r,https://app.datacamp.com/learn/skill-tracks/text-mining-with-r,Pencarian Teks di R,"Pelajari penambangan teks di R dan pelajari cara mengekstrak wawasan menarik dari tweet, ulasan produk, dan buku melalui analisis sentimen di R.",,16,4,,,7629,Pengantar Analisis Teks di R | String Manipulation with stringr in R | Text Mining dengan Bag-of-Words di R | Analisis Sentimen di R,
skill,machine-learning-fundamentals,https://app.datacamp.com/learn/skill-tracks/machine-learning-fundamentals,Dasar-Dasar Pembelajaran Mesin di R,"Prediksi respons kategorikal dan numerik melalui klasifikasi dan regresi, serta temukan struktur tersembunyi dari dataset dengan pembelajaran tanpa pengawasan.",,24,6,1,1,10583,Supervised Learning di R: Klasifikasi | Supervised Learning di R: Regresi | Prediksi Penjualan Masa Depan untuk Item Menu Makanan Cepat Saji | Unsupervised Learning di R | Machine Learning dengan caret di R | Pemodelan dengan tidymodels di R | Machine Learning dengan Model Berbasis Pohon di R | Dasar-dasar Machine Learning dalam R,
skill,statistical-inference-with-r,https://app.datacamp.com/learn/skill-tracks/statistical-inference-with-r,Penarikan Kesimpulan Statistik di R,"Kumpulan keterampilan inti dalam inferensi statistik yang diperlukan untuk memahami, menafsirkan, dan mengoptimalkan model statistik dan pembelajaran mesin Anda.",,16,4,,,7809,Dasar-dasar Inferensi di R | Inferensi untuk Data Kategorik di R | Inferensi untuk Data Numerik di R | Inferensi untuk Regresi Linear di R,
skill,llama-fundamentals,https://app.datacamp.com/learn/skill-tracks/llama-fundamentals,Llama Fundamentals,"Coba gunakan Llama 3 untuk menjalankan inferensi pada model yang telah dilatih sebelumnya, menyesuaikan model tersebut pada dataset kustom, dan mengoptimalkan kinerjanya.",,4,2,1,,2637,Bekerja dengan Llama 3 | Classifying Emails using Llama | Fine-Tuning dengan Llama 3,
skill,intermediate-spreadsheets,https://app.datacamp.com/learn/skill-tracks/intermediate-spreadsheets,Google Sheets Tingkat Menengah,"Perluas keterampilan Anda dalam menggunakan Google Sheets. Pelajari bagaimana validasi data, statistik, dan ekspresi reguler dapat menghemat waktu Anda saat menggunakan Excel dan Sheets!",,12,3,,,9154,Pengantar Statistik di Google Sheets | Kesalahan dan Ketidakpastian di Google Sheets | Analitik Pemasaran di Google Sheets,
skill,data-visualization-with-plotly-and-dash,https://app.datacamp.com/learn/skill-tracks/data-visualization-with-plotly-and-dash,Visualisasi Data dengan Plotly dan Dash,"Kuasai visualisasi data dengan Plotly dan Dash. Buat visualisasi interaktif dan dasbor, serta ubah data menjadi wawasan bisnis yang berharga.",Python,9,2,1,,968,Introduction to Data Visualization with Plotly in Python | Building Dashboards with Dash and Plotly | Menjelajahi Tren Pasar Saham dengan Plotly | Plotly Shapes: A Guide to Annotating and Styling Plots,
skill,importing-cleaning-data-with-r,https://app.datacamp.com/learn/skill-tracks/importing-cleaning-data-with-r,Impor & Pembersihan Data di R,Dapatkan keterampilan praktis yang Anda butuhkan untuk mengimpor dan membersihkan data saat bekerja dengan R—membuat Anda dapat mengungkap wawasan yang penting.,"Dalam kursus ini, Anda akan belajar membaca file CSV, XLS, dan teks di R menggunakan alat seperti readxl dan data.table.
Sudah tahu ini?
Lakukan tes singkat untuk memeriksa apakah Anda dapat melewati kursus ini.
Ikuti Ujian
Bab:
Mengimpor data dari flat file dengan utils
750 XP
readr & data.table
1000 XP
Mengimpor data Excel
600 XP
Pekerjaan Excel yang Reproducible dengan XLConnect
800 XP
Lihat Kursus
Mulai",14,4,1,1,7673,Pengantar Mengimpor Data di R | Intermediate Importing Data in R | Membersihkan Data di R | Reshaping Data with tidyr | Exploring Airbnb Market Trends | Mengimpor & Membersihkan Data dengan R,
skill,google-cloud-digital-leader,https://app.datacamp.com/learn/skill-tracks/google-cloud-digital-leader,Google Cloud Digital Leader,Tingkatkan pengetahuan Anda tentang komputasi awan. Siapkan diri Anda untuk ujian sertifikasi Google Cloud Digital Leader dengan program ini.,,8,6,,,194,Digital Transformation with Google Cloud | Exploring Data Transformation with Google Cloud | Innovating with Google Cloud AI | Modernize Infrastructure and Applications with Google Cloud | Trust and Security with Google Cloud | Scaling with Google Cloud Operations,
skill,julia-fundamentals,https://app.datacamp.com/learn/skill-tracks/julia-fundamentals,Julia Fundamentals,"Temukan Julia: bahasa pemrograman yang cepat dan ramah pengguna untuk semua tugas data. Pelajari dasar-dasar hingga seluk-beluk DataFrames, tanpa memerlukan pengalaman sebelumnya!",,16,4,,,1916,Introduction to Julia | Julia Tingkat Menengah | Manipulasi Data di Julia | Pengantar Visualisasi Data dengan Julia,
skill,keras-fundamentals,https://app.datacamp.com/learn/skill-tracks/keras-fundamentals,Dasar-Dasar Keras,Tingkatkan keterampilan machine learning Anda ke level berikutnya. Gunakan perpustakaan Keras untuk membuat dan mengoptimalkan jaringan saraf tiruan guna memodelkan jenis data yang kompleks.,Python,16,4,1,,4182,Introduction to Deep Learning with Keras | Advanced Deep Learning with Keras | Pemodelan Citra dengan Keras | Recurrent Neural Networks (RNNs) for Language Modeling with Keras | Membangun Model Klasifikasi Pakaian E-Commerce dengan Keras,
skill,google-deepmind-ai-research-foundations,https://app.datacamp.com/learn/skill-tracks/google-deepmind-ai-research-foundations,Google DeepMind: AI Research Foundations,Google DeepMind’s AI Research Foundations curriculum will deepen your understanding of the AI technologies behind language models.,,33,6,,,53,Google DeepMind: Build Your Own Small Language Model | Google DeepMind: Represent Your Language Data | Google DeepMind: Design And Train Neural Networks | Google DeepMind: Discover The Transformer Architecture | Google DeepMind: Fine-Tune Your Model | Google DeepMind: Accelerate Your Model,
skill,shiny-fundamentals-with-r,https://app.datacamp.com/learn/skill-tracks/shiny-fundamentals-with-r,Dasar-Dasar yang Berkilau di R,"Pelajari cara menggunakan Shiny, paket R yang populer, untuk membangun aplikasi web yang sangat interaktif dan membagikan analisis Anda dalam bentuk dashboard dan visualisasi.",,16,4,,,3117,Membangun Aplikasi Web dengan Shiny di R | Studi Kasus: Membangun Aplikasi Web dengan Shiny di R | Building Dashboards with shinydashboard | Membangun Dasbor dengan flexdashboard,
skill,introduction-to-agents-and-google-s-agent-ecosystem,https://app.datacamp.com/learn/skill-tracks/introduction-to-agents-and-google-s-agent-ecosystem,Introduction to Agents and Google’s Agent Ecosystem Google Cloud,"Gain a foundational understanding of AI agents, from their core architecture to their real-world business impact.",,2,3,,,42,Google: Introduction to AI Agents | Google: Enterprise Agents and Use Cases | Google: Create Your First Gemini Enterprise Application,
skill,finance-fundamentals-in-spreadsheets,https://app.datacamp.com/learn/skill-tracks/finance-fundamentals-in-spreadsheets,Dasar-Dasar Keuangan di Google Sheets,"Kembangkan keterampilan Anda dalam menggunakan Google Sheet untuk urusan keuangan. Pelajari cara membangun model bisnis dasar, menggunakan rumus keuangan, dan membuat jadwal amortisasi pinjaman.",,12,3,,,7025,Analitik Keuangan di Google Sheets | Pemodelan Keuangan di Google Sheets | Amortisasi Pinjaman di Google Sheets,
skill,supervised-machine-learning-in-r,https://app.datacamp.com/learn/skill-tracks/supervised-machine-learning-in-r,Pembelajaran Mesin Terawasi di R,"Generate, jelajahi, evaluasi, dan sesuaikan parameter dari berbagai model pembelajaran mesin yang diawasi.",,25,6,1,,3032,Machine Learning di Tidyverse | Regresi Tingkat Menengah di R | Menilai Efektivitas Pengobatan Medis | Pemodelan dengan tidymodels di R | Machine Learning dengan Model Berbasis Pohon di R | Support Vector Machines di R | Penyetelan Hyperparameter di R,
skill,marketing-analytics-with-r,https://app.datacamp.com/learn/skill-tracks/marketing-analytics-with-r,Analisis Pemasaran di R,"Kembangkan keterampilan R yang Anda butuhkan untuk mengolah data media sosial, melakukan analisis keranjang belanja, dan menggunakan machine learning untuk mengarahkan keputusan pemasaran Anda.",,24,6,,,5406,Pengantar Analisis Teks di R | Menganalisis Data Media Sosial dengan R | Analisis Keranjang Belanja di R | Machine Learning untuk Analitik Pemasaran dengan R | Pemodelan Pilihan untuk Pemasaran di R | Membangun Model Respons di R,
skill,interactive-data-visualization-in-r,https://app.datacamp.com/learn/skill-tracks/interactive-data-visualization-in-r,Visualisasi Data Interaktif di R,"Buat peta interaktif yang indah, jelajahi data Anda dengan memperbesar dan mengarahkan kursor ke grafik, serta desain grafik dinamis yang menarik dalam R.",,16,4,,,2372,Interactive Maps with leaflet in R | Visualisasi Data Interaktif dengan plotly di R | Visualisasi Data Interaktif Tingkat Menengah dengan plotly di R | Visualizing Big Data with Trelliscope in R,
skill,big-data-with-r,https://app.datacamp.com/learn/skill-tracks/big-data-with-r,Data Besar di R,"Bekerja dengan big data di R melalui pemrograman paralel, berintegrasi dengan Spark, menulis kode R yang skalabel dan efisien, serta mempelajari cara memvisualisasikan big data.","R, Spark",16,4,,,5834,Menulis Kode R yang Efisien | Visualizing Big Data with Trelliscope in R | Pemrosesan Data yang Dapat Diskalakan di R | Introduction to Spark with sparklyr in R,
skill,finance-fundamentals-in-r,https://app.datacamp.com/learn/skill-tracks/finance-fundamentals-in-r,Dasar-Dasar Keuangan di R,"Dapatkan keterampilan dasar yang Anda butuhkan untuk mengambil keputusan keuangan berbasis data menggunakan R—dengan memanfaatkan paket xts, zoo, tidyquant, dan PortfolioAnalytics.",,28,6,,,1667,Introduction to R for Finance | R Tingkat Menengah untuk Keuangan | Memanipulasi Data Deret Waktu di R | Mengimpor dan Mengelola Data Keuangan di R | Pengantar Analisis Portofolio di R | Analisis Portofolio Tingkat Menengah di R,
skill,applied-finance-in-r,https://app.datacamp.com/learn/skill-tracks/applied-finance-in-r,Keuangan Terapan di R,"Kembangkan keterampilan keuangan Anda di R. Pelajari cara mengevaluasi portofolio, menghitung risiko kredit, dan membuat model GARCH untuk memprediksi volatilitas.",,26,6,,,2458,Quantitative Risk Management in R | Penilaian Ekuitas di R | Penilaian dan Analisis Obligasi di R | Perdagangan Finansial dengan R | Pemodelan Risiko Kredit di R | Model GARCH di R,
skill,intermediate-tidyverse-toolbox,https://app.datacamp.com/learn/skill-tracks/intermediate-tidyverse-toolbox,Kotak Alat Tidyverse Tingkat Menengah,Pelajari cara membangun model pembelajaran mesin secara lebih efektif dengan menggunakan kode yang lebih efisien dan data yang bersih dalam tidyverse.,,17,4,,,3992,Menangani Data Hilang di R | Dasar-dasar Functional Programming dengan purrr | Pemrograman Fungsional Tingkat Menengah dengan purrr | Machine Learning di Tidyverse,
